Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,P-Levenschtein Distance,F-Levenschtein Distance,L-Levenschtein Distance,P-Jaccard,F-Jaccard,L-Jaccard,P-jaroWinkler,F-jaroWinkler,L-jaroWinkler,sum,Label
dschultz,david,schultz,dhirst,david,hirst,0.25,1,0.142857143,0.285714286,0.5,0.25,0.68,1,0,4.108571429,F
ehowe,edward,howe,ecarter,edward,carter,0.285714286,1,0.166666667,0.166666667,0.5,0.1,0.61,1,0.47,4.299047619,F
ggsr,sreedhar,gupta,arpit,arpit,gupta,0,0.125,1,0.111111111,0.153846154,0.5,0.48,0.44,1,3.809957265,F
johntylerbush,john,bush,doranjayster,john,doran,0.153846154,1,0,0.32,0.5,0,0.64,1,0,3.613846154,F
jstauffe,james,,jamesdefelice,james,defelice,0.230769231,1,0,0.238095238,0.5,0,0.58,1,0,3.548864469,F
leeand,andrew,leer,afelle,andrew,feller,0.166666667,1,0.5,0.333333333,0.5,0.4,0.69,1,0.81,5.4,F
logjuser,logjusers,list,logjuser,logj,paduffyciscocom,1,0.444444444,0.133333333,0.5,0.307692308,0.105263158,1,0.89,0,4.380733243,F
losma,mark,losacco,markharwd,mark,harwood,0.111111111,1,0,0.142857143,0.5,0.214285714,0,1,0.51,3.478253968,F
markdouglas,mark,douglas,mark,mark,duske,0.363636364,1,0.285714286,0.266666667,0.5,0.25,0.87,1,0.61,5.146017316,F
martinmonsorno,martin,monsorno,mvindahl,martin,olsen,0.214285714,1,0.375,0.181818182,0.5,0.230769231,0.56,1,0.55,4.611873127,F
mda,mark,anderson,erikba,erik,anderson,0.166666667,0.25,1,0.111111111,0.25,0.5,0,0.67,1,3.947777778,F
mike,michael,mckibben,michaelmattox,michael,mattox,0.230769231,1,0.125,0.176470588,0.5,0.071428571,0.73,1,0.49,4.32366839,F
mmuculus,john,smith,ozemale,john,turnbull,0.125,1,0,0.133333333,0.5,0.076923077,0.51,1,0,3.34525641,F
pradeepj,pradeep,pradeep,cdpradeepa,pradeep,pradeep,0.7,1,1,0.388888889,0.5,0.5,0.76,1,1,6.848888889,T
raghul,raghu,s,rgs,raul,s,0.333333333,0.4,1,0.222222222,0.333333333,0.5,0.7,0.83,1,5.318888889,F
rhodesm,rhodes,michael,sgfan,michael,michael,0,0.142857143,1,0.083333333,0.153846154,0.5,0,0.54,1,3.42003663,F
robertryals,robert,ryals,rowntreerob,robert,rowntree,0.272727273,1,0.125,0.318181818,0.5,0.076923077,0.71,1,0.5,4.502832168,F
simonmonecke,simon,monecke,simonx,simon,simon,0.416666667,1,0.142857143,0.277777778,0.5,0.25,0.85,1,0.68,5.117301587,F
sivakumar,siva,kumar,prathibtech,prathib,kumar,0,0,1,0.15,0.181818182,0.5,0.3,0.46,1,3.591818182,F
stevekuo,steve,kuo,sgarcia,steve,garcia,0.125,1,0,0.066666667,0.5,0,0.48,1,0,3.171666667,F
tbaustert,thomas,baustert,marsht,thomas,marsh,0.333333333,1,0.25,0.266666667,0.5,0.230769231,0.61,1,0.55,4.740769231,F
tsaxtoft,thomas,tsaxtoftsondagsavisendk,tcm,thomas,moorer,0.125,1,0.130434783,0.090909091,0.5,0.103448276,0.54,1,0.4,3.889792149,F
womack,mark,womack,womack,womack,womack,1,0.5,1,0.5,0.3,0.5,1,0.75,1,6.55,F
zhujn,,,arobertson,alan,,0.1,0,,0.066666667,0,,0,0,0,,F
acrain,adam,crain,adamvainder,adam,vainder,0.363636364,1,0.285714286,0.294117647,0.5,0.333333333,0.71,1,0.68,5.16680163,F
alexandargvozdenovic,alex,gvozdenovic,alexbenke,alex,benke,0.3,1,0.181818182,0.206896552,0.5,0.125,0.76,1,0.43,4.503714734,F
arobertson,alan,,augustynr,robert,,0.2,0,,0.263157895,0,,0.66,0,0,,F
bharatsinghmnnit,bharat,singh,jaspreetinc,jaspreet,singh,0.1875,0.25,1,0.222222222,0.214285714,0.5,0.58,0.63,1,4.584007937,F
bhavanki,bill,havanki,billbridge,bill,bridge,0.1,1,0,0.111111111,0.5,0.076923077,0.54,1,0,3.328034188,F
chris,chris,bailey,chrisburroughsapache,chris,burroughs,0.25,1,0.111111111,0.2,0.5,0.066666667,0.85,1,0.48,4.457777778,F
chriswberry,chris,berry,cheady,chris,heady,0.363636364,1,0.4,0.235294118,0.5,0.2,0.6,1,0.6,4.898930481,F
crsindhu,crsindhugmailcom,crsindhugmailcom,crsindhu,sindhu,sindhu,1,0.375,0.375,0.5,0.272727273,0.272727273,1,0.79,0.79,5.375454545,T
davelevitt,dave,levitt,djonesca,dave,jones,0.2,1,0,0.166666667,0.5,0.090909091,0.54,1,0.46,3.957575758,F
davidlao,david,lao,dcapwell,david,capwell,0.25,1,0.142857143,0.1875,0.5,0.2,0.63,1,0.49,4.400357143,F
davidtonhofer,david,tonhofer,david,david,phillips,0.384615385,1,0,0.277777778,0.5,0.0625,0.88,1,0.42,4.524893162,F
dims,dmitry,kravchenko,dmitrymaven,dmitry,beransky,0.272727273,1,0.2,0.2,0.5,0.277777778,0.61,1,0,4.060505051,F
dlarmee,donald,larmeealterthought,dlarmee,donald,larmee,1,1,0.333333333,0.5,0.5,0.25,1,1,0.87,6.453333333,T
isking,ian,king,marlier,ian,marlier,0.142857143,1,0.142857143,0.076923077,0.5,0.090909091,0.44,1,0,3.393546454,F
jeff,jeff,shaw,jeffrdrew,jeff,drew,0.444444444,1,0.25,0.307692308,0.5,0.125,0.89,1,0.5,5.017136752,F
jice,john,eisenman,jwaugh,john,waugh,0.166666667,1,0,0.1,0.5,0.076923077,0.52,1,0,3.363589744,F
jlindwall,john,lindwall,jsinglet,john,singleton,0.333333333,1,0.222222222,0.235294118,0.5,0.176470588,0.61,1,0.46,4.537320261,F
johnbanks,john,banks,jcollier,john,collier,0.111111111,1,0,0.117647059,0.5,0,0.54,1,0,3.26875817,F
jstauffe,james,,james,james,radvan,0.25,1,0,0.307692308,0.5,0,0.1,1,0,3.157692308,F
mailinglist,rodney,beede,contactme,rodney,beede,0,1,1,0.2,0.5,0.5,0.42,1,1,5.62,T
mchase,michael,chase,mike,michael,schronen,0.333333333,1,0.375,0.2,0.5,0.307692308,0.65,1,0,4.366025641,F
mkurley,mark,kurley,mfrost,mark,frost,0.285714286,1,0.166666667,0.153846154,0.5,0.090909091,0.59,1,0.46,4.247136197,F
neil,neil,bhakta,neilconway,neil,conway,0.4,1,0,0.285714286,0.5,0.083333333,0.88,1,0.44,4.589047619,F
nwolchko,nicholas,wolchko,nwhitehe,nicholas,nicholas,0.25,1,0.125,0.1875,0.5,0.266666667,0.67,1,0.52,4.519166667,F
paulsmith,paul,smith,vwu,vernon,smith,0.111111111,0,1,0.083333333,0,0.5,0.48,0,1,3.174444444,F
rcarazo,,carazo,emttang,,,0.142857143,,0,0.071428571,,0,0.43,0,0,,F
rcrawford,richard,crawford,rvowles,richard,vowles,0.222222222,1,0.125,0.1875,0.5,0.142857143,0.1,1,0,3.277579365,F
scott,scott,schram,sciz,scott,cizarno,0.4,1,0.142857143,0.222222222,0.5,0.230769231,0.71,1,0.53,4.735848596,F
simon,simon,klaiber,simonlitwan,simon,litwan,0.454545455,1,0.142857143,0.3125,0.5,0.230769231,0.89,1,0.53,5.060671828,F
strutsuser,struts,list,strutsuser,struts,struts,1,1,0.166666667,0.5,0.5,0.2,1,1,0.61,5.976666667,T
zhangxu,xu,zhang,zhangxiaotong,xiaotong,zhang,0.461538462,0.125,1,0.3,0.1,0.5,0.86,0.59,1,4.936538462,F
,,,ehallander,hallander,,0,0,,0,0,,0,0,0,,F
,chenwencai,chenwencai,,axbair,axbair,,0.1,0.1,,0.125,0.125,0,0,0,,F
alexandriadev,alexandria,list,logjuser,logjusers,list,0.153846154,0.1,1,0.142857143,0.157894737,0.5,0.54,0.54,1,4.134598034,F
amentoraz,yemeth,,lvxiaoyi,,,0.111111111,0,,0.117647059,0,,0.49,0,0,,F
announce,jware,announcements,announce,announce,announce,1,0.125,0.615384615,0.5,0.153846154,0.380952381,1,0,0.92,4.69518315,F
arobertson,alan,,jzhao,jin,,0.1,0.25,,0.133333333,0.142857143,,0,0.53,0,,F
bernat,vincent,bernat,vmassol,vincent,massol,0,1,0,0.076923077,0.5,0.083333333,0.44,1,0.44,3.54025641,F
cheady,chris,heady,cchen,chris,chen,0.333333333,1,0.2,0.272727273,0.5,0.222222222,0.73,1,0.63,4.888282828,F
cheshirator,chris,cheshire,cheady,chris,heady,0.363636364,1,0.25,0.235294118,0.5,0.153846154,0.3,1,0.55,4.352776635,F
davidj,dave,johnson,apacheorg,dave,latham,0.111111111,1,0,0.066666667,0.5,0.076923077,0.43,1,0.44,3.624700855,F
davidmuelas,david,snchez,davidsklarew,david,sklarew,0.5,1,0.285714286,0.391304348,0.5,0.153846154,0.89,1,0.59,5.310864787,F
dbender,dave,bender,dglasser,dave,glasser,0.375,1,0.285714286,0.2,0.5,0.153846154,0.64,1,0.54,4.69456044,F
dglick,david,glick,dbabits,david,babits,0.285714286,1,0.166666667,0.153846154,0.5,0.090909091,0.59,1,0.46,4.247136197,F
dtonhofer,david,tonhofer,dmccormick,david,mccormick,0.1,1,0,0.157894737,0.5,0.117647059,0.59,1,0.49,3.955541796,F
echow,eric,chow,ewhauser,eric,hauser,0.25,1,0,0.230769231,0.5,0.1,0.1,1,0.47,3.650769231,F
ewulff,eric,wulff,ebenze,eric,b,0.166666667,1,0,0.083333333,0.5,0,0.5,1,0,3.25,F
johnlukar,john,lukar,haefeleuser,john,smith,0.272727273,1,0,0.25,0.5,0,0.6,1,0,3.622727273,F
jojo,jojo,john,johnsheehy,sheehy,john,0.2,0,1,0.142857143,0,0.5,0.65,0,1,3.492857143,F
jsinglet,john,singleton,john,john,churchill,0.25,1,0,0.166666667,0.5,0.111111111,0.63,1,0,3.657777778,F
kevin,kevin,kevin,wangxuzheng,kevin,wang,0.090909091,1,0,0.125,0.5,0.111111111,0.43,1,0.48,3.737020202,F
list,tom,bednarz,tomh,tom,henricksen,0,1,0.1,0.125,0.5,0.176470588,0,1,0.58,3.481470588,F
logjdevhelp,logj,email,cburkey,christopher,email,0.090909091,0.090909091,1,0.055555556,0.066666667,0.5,0.41,0,1,3.214040404,F
logjuser,logjinterest,logjinterest,logjuser,list,logjusers,1,0.333333333,0.583333333,0.5,0.25,0.333333333,1,0.1,0.87,4.97,F
logjuser,logjuserjakarta,email,logjuser,,,1,0,0,0.5,0,0,1,0,0,2.5,F
logjuser,ml,email,logjuser,wendy,smoak,1,0,0.2,0.5,0,0.2,1,0,0.6,3.5,F
logjuser,wendy,smoak,logjuser,logjuser,jakartaapacheorg,1,0,0.0625,0.5,0.076923077,0.142857143,1,0,0.51,3.29228022,F
mclaassen,mark,claassen,mlybarger,mark,lybarger,0.333333333,1,0.25,0.222222222,0.5,0.1875,0.67,1,0.58,4.743055556,F
mdiggory,mark,diggory,markvandervoort,mark,voort,0.266666667,1,0.285714286,0.173913043,0.5,0.166666667,0.52,1,0.56,4.472960663,F
mgius,mark,gius,marklists,mark,hansen,0.333333333,1,0.166666667,0.214285714,0.5,0.1,0.1,1,0.47,3.884285714,F
michaelbellomo,michael,bellomo,mseele,michael,seele,0.285714286,1,0.285714286,0.2,0.5,0.166666667,0.69,1,0.56,4.688095238,F
rimovm,michael,rimov,michael,michael,duergner,0.142857143,1,0.125,0.153846154,0.5,0.076923077,0.37,1,0,3.368626374,F
sarowe,steve,rowe,steve,steve,pringle,0.333333333,1,0.285714286,0.181818182,0.5,0.181818182,0.62,1,0,4.102683983,F
simon,simon,kitching,simondorrat,simon,dorrat,0.454545455,1,0,0.3125,0.5,0.071428571,0.89,1,0.43,4.658474026,F
sujas,suja,s,kollcenter,s,s,0,0.25,1,0,0.2,0.5,0,0.78,1,3.73,F
thomasweise,thomas,weise,thomasweller,thomas,weller,0.75,1,0.5,0.391304348,0.5,0.272727273,0.91,1,0.76,6.084031621,F
thomasweise,thomas,weise,tsv,thomas,svensen,0.181818182,1,0.428571429,0.142857143,0.5,0.25,0.53,1,0.68,4.713246753,F
tmw,tom,witmer,tomcaulkins,tom,caulkins,0.181818182,1,0,0.142857143,0.5,0.071428571,0.65,1,0,3.546103896,F
truufs,chang,song,shuhchang,chang,shuh,0.111111111,1,0.25,0.133333333,0.5,0.125,0.43,1,0.55,4.099444444,F
wilkystorm,mike,wilkinson,mikezirkle,mike,zirkle,0.1,1,0.222222222,0.25,0.5,0.2,0,1,0.5,3.772222222,F
wincn,,,hongcz,,,0.333333333,,,0.181818182,,,0.58,0,0,,F
a,alexandr,orlov,a,adam,fisk,1,0.25,0,0.5,0.25,0,1,0.63,0,3.63,F
ccosta,carlos,portela,karlsfriend,carlos,freund,0.090909091,1,0.142857143,0.117647059,0.5,0.153846154,0,1,0.54,3.545259446,F
dave,dave,dave,davemeyer,meyer,dave,0.444444444,0.2,1,0.307692308,0.111111111,0.5,0.89,0.48,1,4.933247863,F
dcapwell,david,capwell,achepati,david,david,0.125,1,0.142857143,0.25,0.5,0.083333333,0.5,1,0.45,4.051190476,F
dlee,david,lee,dguimbellot,david,guimbellot,0.181818182,1,0.1,0.2,0.5,0.153846154,0.1,1,0,3.235664336,F
echow,eric,chow,erichamacher,eric,hamacher,0.25,1,0.25,0.176470588,0.5,0.166666667,0.66,1,0.46,4.463137255,F
felix,peter,felix,shihaoliang,peter,shi,0.181818182,1,0.2,0.125,0.5,0.125,0.43,1,0.51,4.071818182,F
greid,gabriel,reid,ekreid,eric,reid,0.666666667,0.285714286,1,0.363636364,0.272727273,0.5,0.74,0.6,1,5.428744589,F
jamesahutton,james,hutton,jadams,james,adams,0.25,1,0,0.277777778,0.5,0,0.75,1,0,3.777777778,F
jeffsinger,jeff,singer,jeffsnow,jeff,snow,0.6,1,0.333333333,0.333333333,0.5,0.2,0.87,1,0.65,5.486666667,F
john,john,churchill,jbrunton,john,brunton,0.25,1,0.111111111,0.25,0.5,0.125,0.63,1,0.34,4.206111111,F
johnbanks,john,banks,jhunsley,john,hunsley,0.222222222,1,0.142857143,0.235294118,0.5,0.166666667,0.68,1,0.56,4.507040149,F
johnferron,john,ferron,jmcnally,john,mcnally,0.2,1,0,0.111111111,0.5,0.076923077,0.54,1,0.44,3.868034188,F
jpolanik,joe,polanik,joehalliwell,joe,halliwell,0.25,1,0.111111111,0.25,0.5,0.1875,0.65,1,0.48,4.428611111,F
jroscoe,jason,roscoe,jroscoe,jroscoe,jroscoe,1,0.428571429,0.857142857,0.5,0.25,0.461538462,1,0.61,0.95,6.057252747,T
logjuser,apache,list,logjuser,logjmailinglist,logjmailinglist,1,0.066666667,0.266666667,0.5,0.047619048,0.210526316,1,0.41,0.5,4.001478697,F
logjuser,jacob,kjome,logjuser,,list,1,0,0,0.5,0,0,1,0,0,2.5,F
logjuser,log,posting,logjuser,logjuserjakarta,email,1,0.2,0.142857143,0.5,0.166666667,0.083333333,1,0.81,0.45,4.352857143,F
logjuser,logjinterest,logjinterest,logjuser,list,list,1,0.333333333,0.333333333,0.5,0.25,0.25,1,0.1,0.1,3.866666667,F
markmasse,mark,masse,logjuser,mark,himsley,0.111111111,1,0.285714286,0.176470588,0.5,0.25,0,1,0.68,4.003295985,F
mdiggory,mark,diggory,markmasse,mark,masse,0.111111111,1,0,0.117647059,0.5,0,0.54,1,0,3.26875817,F
mmuculus,john,smith,paulsmith,paul,smith,0.111111111,0,1,0.235294118,0,0.5,0.48,0,1,3.326405229,F
mosullivan,mark,sull,markdouglas,mark,douglas,0.181818182,1,0.285714286,0.285714286,0.5,0.272727273,0.69,1,0.6,4.815974026,F
neilpitman,neil,pitman,neil,neil,neil,0.4,1,0,0.285714286,0.5,0.2,0.88,1,0.47,4.735714286,F
peter,peter,mutsaers,donaldp,peter,donald,0,1,0.125,0.083333333,0.5,0.071428571,0,1,0.43,3.209761905,F
psmith,paul,smith,pbenedict,paul,benedict,0.222222222,1,0.125,0.2,0.5,0.153846154,0.1,1,0,3.301068376,F
pvoutier,paul,voutier,psmith,paul,smith,0.25,1,0.142857143,0.214285714,0.5,0.166666667,0.56,1,0.4,4.233809524,F
randisingh,randi,singh,ashish,ashish,singh,0.4,0.166666667,1,0.25,0.181818182,0.5,0,0.58,1,4.078484848,F
rexxe,andrew,berman,andrewpennebaker,andrew,pennebaker,0.1875,1,0.2,0.142857143,0.5,0.3125,0,1,0.49,3.832857143,F
rob,rob,henley,rjmitchell,rob,mitchell,0.1,1,0.125,0.076923077,0.5,0.214285714,0.53,1,0,3.546208791,F
robcash,rob,cash,roxspring,rob,oxspring,0.222222222,1,0.125,0.1875,0.5,0.083333333,0.67,1,0.46,4.248055556,F
sgfan,michael,michael,michaelchua,chua,michael,0.090909091,0.285714286,1,0.0625,0.272727273,0.5,0.43,0.73,1,4.371850649,F
smiller,scott,miller,scottdeboy,scott,deboy,0.2,1,0,0.117647059,0.5,0.090909091,0.55,1,0,3.45855615,F
stevefuk,steven,fisher,smbsolr,steven,bower,0.125,1,0.333333333,0.066666667,0.5,0.181818182,0.48,1,0.58,4.266818182,F
tim,tim,fox,timmcclure,tim,mcclure,0.3,1,0,0.230769231,0.5,0,0.84,1,0,3.870769231,F
webapache,robert,thille,robertdonkin,robert,donkin,0.083333333,1,0,0.095238095,0.5,0.083333333,0.3,1,0.44,3.501904762,F
alexyxwu,alex,wu,alexcolic,alex,colic,0.444444444,1,0,0.235294118,0.5,0,0.79,1,0,3.969738562,F
cheady,chris,heady,chuisman,chris,huisman,0.25,1,0.142857143,0.214285714,0.5,0.166666667,0.7,1,0.1,4.073809524,F
ctubbsiijira,christopher,tubbs,cstaylor,christopher,taylor,0.166666667,1,0.166666667,0.25,0.5,0.090909091,0.57,1,0.51,4.254242424,F
davidtonhofer,david,tonhofer,dave,david,thielen,0.307692308,1,0.25,0.235294118,0.5,0.266666667,0.76,1,0.1,4.419653092,F
ekbush,eddie,bush,postmenow,eddie,eddie,0,1,0,0.133333333,0.5,0,0.43,1,0,3.063333333,F
elrod,mark,elrod,markbenussi,mark,benussi,0.090909091,1,0.142857143,0.125,0.5,0.083333333,0.43,1,0.45,3.822099567,F
hbentel,henrik,bentel,henrikengert,henrik,engert,0.333333333,1,0.333333333,0.263157895,0.5,0.333333333,0.67,1,0.69,5.123157895,F
jeffsinger,jeff,singer,jeff,jeff,turner,0.4,1,0.333333333,0.285714286,0.5,0.25,0.88,1,0.56,5.209047619,F
jernst,johannes,ernst,jzillmann,johannes,zillmann,0.111111111,1,0,0.133333333,0.5,0.076923077,0.1,1,0,2.921367521,F
jgamache,joe,gamache,joewiz,joe,wicentowski,0.125,1,0,0.142857143,0.5,0.111111111,0.49,1,0.49,3.858968254,F
johnreed,john,reed,vines,john,vines,0.25,1,0.2,0.153846154,0.5,0.111111111,0.55,1,0.48,4.244957265,F
josephkoshy,joseph,koshy,joe,joseph,kuan,0.272727273,1,0.2,0.214285714,0.5,0.111111111,0.81,1,0.54,4.648124098,F
jstauffe,james,,jadams,james,adams,0.25,1,0,0.214285714,0.5,0,0.1,1,0,3.064285714,F
jstauffe,james,,markjdesantis,desantis,,0.153846154,0.25,,0.238095238,0.230769231,,0.42,0.55,0,,F
lawless,james,lawless,jstauffe,james,stauffer,0,1,0.125,0.2,0.5,0.2,0,1,0.51,3.535,F
logjuser,logj,group,logjuser,logjinterest,logjinterest,1,0.333333333,0.166666667,0.5,0.25,0.176470588,1,0.87,0.36,4.656470588,F
markharwd,mark,harwood,markt,mark,thomas,0.444444444,1,0,0.285714286,0.5,0.230769231,0.85,1,0.53,4.840927961,F
mguillemot,marc,guillemot,marcoesch,marc,oesch,0.2,1,0.111111111,0.157894737,0.5,0.142857143,0.49,1,0,3.601862991,F
mikeg,michael,gesundheit,hanm,michael,han,0,1,0.1,0.111111111,0.5,0.153846154,0,1,0,2.864957265,F
msvendev,michael,svendsen,hanm,michael,han,0.125,1,0.125,0.166666667,0.5,0.090909091,0,1,0.49,3.497575758,F
posixe,alex,newman,alexbaranovv,alex,baranau,0,1,0.142857143,0.166666667,0.5,0.153846154,0.33,1,0.54,3.833369963,F
ralphgoers,ralphgoers,dslextremecom,ralphgoers,ralphgoers,ralphgoers,1,1,0.153846154,0.5,0.5,0.217391304,1,1,0.49,5.861237458,T
rkadayam,rajiv,kadayam,rajivrnair,rajiv,nair,0.2,1,0.142857143,0.166666667,0.5,0.090909091,0.6,1,0.46,4.1604329,F
robertkamphuis,robert,kamphuis,syg,robert,bowen,0,1,0,0.058823529,0.5,0,0,1,0,2.558823529,F
sduran,steve,duran,stevefolly,steve,folly,0.1,1,0,0.0625,0.5,0,0.48,1,0,3.1425,F
steve,steven,saunders,onlynone,steven,willis,0.125,1,0.125,0.076923077,0.5,0.071428571,0,1,0.43,3.328351648,F
teddyyyy,yang,yang,fyang,fang,yang,0.125,0.75,1,0.076923077,0.375,0.5,0,0.83,1,4.656923077,F
vasuvasi,srinivas,rao,rao,rongmei,rao,0.125,0.25,1,0.090909091,0.2,0.5,0.49,0.6,1,4.255909091,F
apache,shevek,shevek,apache,shawn,heisey,1,0.333333333,0.333333333,0.5,0.181818182,0.333333333,1,0.66,0.69,5.031818182,F
barneytoe,chris,garcia,shef,chris,chris,0.111111111,1,0.333333333,0.076923077,0.5,0.272727273,0.45,1,0,3.744094794,F
chrisatkinson,chris,atkinson,chris,chris,smith,0.384615385,1,0.125,0.277777778,0.5,0.230769231,0.88,1,0.38,4.778162393,F
christianselekman,christian,selekman,christianziech,christian,ziech,0.588235294,1,0.125,0.322580645,0.5,0.076923077,0.86,1,0.44,4.912739016,F
davidb,david,bosschaert,dtonhofer,david,tonhofer,0.111111111,1,0.3,0.066666667,0.5,0.277777778,0.48,1,0.63,4.365555556,F
devnull,,,amentoraz,yemeth,,0.111111111,0,,0.125,0,,0.5,0,0,,F
doranjayster,john,doran,fisher,john,fisher,0.25,1,0,0.166666667,0.5,0.090909091,0.42,1,0,3.427575758,F
ewhauser,eric,hauser,ericzundel,eric,ayers,0.3,1,0.333333333,0.222222222,0.5,0.363636364,0.6,1,0.74,5.059191919,F
ewulff,eric,wulff,etheroude,eric,theroude,0.111111111,1,0,0.133333333,0.5,0.076923077,0.1,1,0,2.921367521,F
ftaylor,frank,taylor,negaton,luke,taylor,0.142857143,0,1,0.214285714,0.111111111,0.5,0.51,0.48,1,3.958253968,F
gimier,andrew,forkalsrud,reynhout,andrew,reynhout,0,1,0.2,0.142857143,0.5,0.166666667,0.43,1,0.45,3.88952381,F
goetzger,heinrich,gvtzger,goetzger,heinrich,gtzger,1,1,0.857142857,0.5,0.5,0.461538462,1,1,0.96,7.278681319,T
hanm,michael,han,x,michael,xenakis,0,1,0.142857143,0,0.5,0.2,0,1,0,2.842857143,F
jmuhlestein,john,muhlestein,johntylerbush,john,bush,0.230769231,1,0.2,0.333333333,0.5,0.214285714,0.6,1,0,4.078388278,F
kenbaltrinic,ken,baltrinic,kencline,ken,cline,0.5,1,0.333333333,0.35,0.5,0.285714286,0.83,1,0,4.799047619,F
logjuser,apache,list,logjuser,logjuserjakarta,org,1,0.133333333,0,0.5,0.142857143,0,1,0.41,0,3.186190476,F
logjuser,lista,lista,logjuser,log,posting,1,0.2,0.285714286,0.5,0.125,0.25,1,0.56,0,3.920714286,F
markuswai,markus,waidhofer,markusb,markus,brakweh,0.666666667,1,0.111111111,0.375,0.5,0.3125,0.9,1,0,4.865277778,F
mfernau,martin,fernau,bosakmjava,martin,bosak,0.1,1,0.166666667,0.117647059,0.5,0.090909091,0.41,1,0.46,3.845222816,F
rbyrom,rob,byrom,robadams,rob,adams,0.375,1,0,0.285714286,0.5,0.1,0.68,1,0.47,4.410714286,F
rchan,roland,chan,roland,roland,rder,0.5,1,0,0.272727273,0.5,0,0.73,1,0,4.002727273,F
rfshelley,ryan,shelley,rynam,ryan,connolly,0.111111111,1,0.25,0.142857143,0.5,0.2,0.49,1,0.6,4.293968254,F
rgs,raul,s,jn,raul,carazo,0,1,0,0,0.5,0,0,1,0,2.5,F
scohen,steve,cohen,smactaggart,steve,mactaggart,0.181818182,1,0.1,0.117647059,0.5,0.066666667,0.55,1,0.43,3.946131907,F
scottfarquhar,scott,farquhar,ssmith,scott,smith,0.230769231,1,0.125,0.157894737,0.5,0.076923077,0.55,1,0.44,4.080587045,F
shralex,alexander,shraer,alexlehm,alexander,lehmann,0.25,1,0.285714286,0.333333333,0.5,0.230769231,0.69,1,0.53,4.81981685,F
wincn,,,alessioronchi,,alessioronchi,0.230769231,,0,0.166666667,,0,0,0,0,,F
adf,andrew,ferguson,andrewhurst,andrew,hurst,0.181818182,1,0.25,0.142857143,0.5,0.230769231,0.65,1,0,3.955444555,F
andrewb,andrew,betts,gaul,andrew,gaul,0,1,0,0.090909091,0.5,0,0.46,1,0,3.050909091,F
andy,andy,rozman,andygrove,andy,grove,0.444444444,1,0.166666667,0.307692308,0.5,0.181818182,0.89,1,0.58,5.070621601,F
ben,ben,bangert,apache,ben,hartshorne,0,1,0.2,0.111111111,0.5,0.294117647,0,1,0.58,3.685228758,F
billrebey,bill,rebey,billharrelson,bill,harrelson,0.461538462,1,0.222222222,0.272727273,0.5,0.142857143,0.83,1,0.54,4.969345099,F
brucemitchener,bruce,mitchener,lovesf,bruce,gao,0.071428571,1,0,0.05,0.5,0,0.41,1,0,3.031428571,F
chrisburroughsapache,chris,burroughs,chrisdickinson,chris,dickinson,0.3,1,0,0.235294118,0.5,0.111111111,0.74,1,0.31,4.196405229,F
davidj,dave,johnson,davelevitt,dave,levitt,0.4,1,0,0.25,0.5,0,0.3,1,0,3.45,F
davidmiller,david,miller,dkarr,david,karr,0.181818182,1,0.166666667,0.1875,0.5,0.1,0.57,1,0.47,4.175984848,F
dmdabbs,david,dabbs,achepati,david,david,0,1,0.4,0.066666667,0.5,0.2,0.42,1,0.68,4.266666667,F
ewhauser,eric,hauser,echow,eric,chow,0.25,1,0,0.230769231,0.5,0.1,0.1,1,0.47,3.650769231,F
jlindsey,john,lindsey,johnl,john,el,0.25,1,0.142857143,0.230769231,0.5,0.222222222,0.1,1,0.55,3.995848596,F
johnkk,john,john,johnreed,john,reed,0.5,1,0,0.285714286,0.5,0,0.83,1,0,4.115714286,F
logjuser,logj,womackadobecom,logjuser,users,logj,1,0,0.071428571,0.5,0,0.055555556,1,0,0.44,3.066984127,F
lognetdev,lognet,list,logjuser,log,list,0.444444444,0.5,1,0.235294118,0.333333333,0.5,0.75,0.88,1,5.643071895,F
priyatips,priya,k,sirmishonis,mihail,k,0.272727273,0.166666667,1,0.2,0.181818182,0.5,0.52,0.58,1,4.421212121,F
sjames,stephen,james,stephenpain,stephen,,0.181818182,1,0,0.176470588,0.5,0,0.55,1,0,3.40828877,F
tonykerz,tony,k,kaneda,kaneda,k,0.25,0.166666667,1,0.214285714,0.1,0.5,0,0.47,1,3.700952381,F
warpcoil,jim,morrison,jimfuller,jim,fuller,0,1,0,0.176470588,0.5,0.071428571,0,1,0.43,3.17789916,F
xerces,david,balaic,dthielen,david,thielen,0.125,1,0,0.142857143,0.5,0.153846154,0.53,1,0.37,3.821703297,F
anuragsr,anurag,srivastava,satyendrasrivastava,satyendra,srivastava,0.263157895,0.333333333,1,0.222222222,0.266666667,0.5,0.69,0,1,4.275380117,F
ashishbea,ashish,jain,laughingbuddha,ashish,mishra,0.357142857,1,0,0.260869565,0.5,0.2,0,1,0.47,3.788012422,F
bay,scruffles,,jzhao,jin,,0.2,0,,0.125,0,,0,0,0,,F
brianjohnson,brian,johnson,brianf,brian,fox,0.416666667,1,0.142857143,0.277777778,0.5,0.1,0.85,1,0.49,4.777301587,F
bsiegel,siegel,j,kennysanchez,sanchez,j,0.166666667,0.285714286,1,0.157894737,0.153846154,0.5,0,0.59,1,3.854121843,F
