Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,P-Levenschtein Distance,F-Levenschtein Distance,L-Levenschtein Distance,P-Jaccard,F-Jaccard,L-Jaccard,P-jaroWinkler,F-jaroWinkler,L-jaroWinkler,sum,Label
stefanborovac,stefan,borovac,bytek,stefan,bayer,0.076923077,1,0.142857143,0.166666667,0.5,0.25,0.52,1,0.61,4.266446886,F
sthomp,scott,thompson,tonythompson,tony,thompson,0.416666667,0.2,1,0.333333333,0.222222222,0.5,0.68,0,1,4.352222222,F
sudhendrabseshachala,seshachala,b,andreasclara,andy,b,0.35,0.1,1,0.34375,0.071428571,0.5,0.61,0,1,3.975178571,F
tianhuo,raymond,liu,tangxiliu,tang,liu,0.222222222,0.285714286,1,0.3125,0.181818182,0.5,0.1,0,1,3.60225469,F
vijaypawnarkar,vijay,pawnarkar,vjoshi,vijay,joshi,0.142857143,1,0,0.15,0.5,0,0.1,1,0,2.892857143,F
aaronschultz,aaron,schultz,apaulzimmerman,aaron,zimmerman,0.142857143,1,0,0.269230769,0.5,0.0625,0.63,1,0,3.604587912,F
afurmanczuk,adam,furmanczuk,adamcreeger,adam,creeger,0.090909091,1,0.1,0.227272727,0.5,0.117647059,0.61,1,0.41,4.055828877,F
ajay,ajay,singh,csingh,chandan,singh,0,0.285714286,1,0,0.181818182,0.5,0,0,1,2.967532468,F
billbridge,bill,bridge,whhutchi,bill,hutchinson,0,1,0.1,0.055555556,0.5,0.0625,0.41,1,0.42,3.548055556,F
cdonnelly,chris,donnelly,melchizadec,chris,jones,0,1,0.375,0.2,0.5,0.230769231,0.42,1,0.66,4.385769231,F
chuisman,chris,huisman,clamprecht,chris,lamprecht,0.1,1,0,0.222222222,0.5,0.1875,0.5,1,0,3.509722222,F
cjlambert,chris,lambert,chris,chris,jones,0.111111111,1,0.142857143,0.142857143,0.5,0.083333333,0.49,1,0.45,3.92015873,F
david,david,phillips,dave,david,smithuchida,0.6,1,0.181818182,0.333333333,0.5,0.210526316,0.85,1,0.44,5.115677831,F
davidlao,david,lao,davidjanovy,david,janovy,0.636363636,1,0.333333333,0.368421053,0.5,0.222222222,0.9,1,0.67,5.630340245,F
